,Company Name,Comapany Website,Address,Contact,Phone No.
0,A.I.A.D.H.E.S.A.,www.grupoalacant.com,"Paseo de los Sauces, n°1 03690 Sant Vicente del Raspeig, Alicante Spain","Esteve Samarra Calderó, Commercial DirectorCommercial DirectorAntonio Diez Gil, Sales ManagerSales Manager",+34 965 66 14 54
1,A.I.A. S.P.A.,www.negroni.com,Piazzale Apollinare Veronesi 1 37036 San Martino Buon Albergo Italy,"Claudia Ferrari, Marketing ManagerMarketing Manager",+39 059 447 111
2,A&N&A GMBH & CO. KG,www.ana-aqualine.de,Benzstrasse 12 35799 Merenberg Germany,"Christina Hild, Sales DirectorSales Director",+49 6471 5099 0
3,ROYAL A-WARE FOOD GROUP,www.royal-aware.com,Catharijne 1 1358 CC Almere The Netherlands,"Marga van der Neut, Head of Marketing and InnovationHead of Marketing and InnovationGerco de Heer, Director Dairy TradeDirector Dairy Trade",+31 88 738 1000
4,AACHENER PRINTEN- UND SCHOKOLADENFABRIK HENRY LAMBERTZ GMBH & CO. KG,www.lambertz.de,Borchersstrasse 18 52072 Aachen Germany,"Mersiha Kazic-Todorovic, Teamleader International SalesTeamleader International Sales",+49 241 8905 172
5,AAYLEX ONE,www.cocorico.ro,DN2B Km 9+270 – Km 9 +527 (left side) 120118 Buzau Romania,"Virgil Ciausoiu, Commercial DirectorCommercial DirectorCapitaneanu Georgian, ExportManagerExportManager",+40 212413966
6,ABAFOODS S.R.L.,www.abafoods.com,Via Ca' Mignola Nuova 1775 45021 Badia Polesine Italy,"Simone Salvioni, Marketing DirectorMarketing Director",+39 0425 1560900
7,ABCD NUTRITION,www.abcdnutrition.com,513 Rue Robert Estienne 60400 Noyon France,"Anna Tsarenkova, Export Sales ManagerExport Sales Manager",+33 6 44 10 83 31
8,ABC NUTRITIONALS,www.abcnutritionals.com,"Knockbeag Point V14 XV08 Shannon, Co.Clare Ireland","Willie Wixted, DirectorDirectorSean McNamara, DirectorDirector",+353 61 433 013
9,ABENA CONSUMER PRODUCTS A/S,www.abena.com,Egelund 35 6200 Aabenraa Denmark,"Lars Oliver Jung, Managing DirectorManaging Director",+45 74 31 16 80
10,"ABIMAPI - BRAZILIAN MANUFACTURERS ASSOCIATION OF BISCUITS, PASTA AND INDUSTRIALIZED BREADS & CAKES",www.abimapi.com.br/international,Av. Paulista 1754/104 01310-920 Sao Paulo Brazil,"Rodrigo Iglesias, International DirectorInternational DirectorRenata Boes, International Promotion CoordinatorInternational Promotion Coordinator",+55 11 5188 6200
11,ABONETT KFT.,www.abonett.hu,Füzesér dűlő 16. 2740 Abony Hungary,"Zoltán Szebeni, Managing DirectorManaging Director",+36 53560020
12,ACE FARM HOLDINGS,www.acefarm.co.kr,"4F, Songjeong Bldg., 538 Girin-Daero Deokjin-gu 54897 Jeonju South Korea","May Lee, Sales ManagerSales Manager",+82 63 254 6888
13,"ACEITES MAEVA, S.L.U.",www.aceitesmaeva.com,"Parque Metropolitano, Avda. Íncar 8 18130 Escúzar, Granada Spain","Alejandro Aguilera, Back Office InternationalBack Office InternationalLuis Torres-Morente Garcia, Purchase & Sales ManagerPurchase & Sales Manager",+34 958 991 033
14,ACEITES YBARRA S.A.,www.ybarragroup.com,"Av. Rafael Ybarra, 1 41703 Dos Hermanas Spain","Tristán Ybarra, Export ManagerExport ManagerAna Nieto, Export ManagerExport Manager",+34 955675060
15,ACEITUNAS CAZORLA SL,www.aceitunascazorla.com,"Ctra Madrid, 69 03007 Alicante Spain","María García, Marketing DirectorMarketing Director",+34 647780054
16,ACEITUNAS GUADALQUIVIR SLU,www.agolives.com,"Vereda de la Alcoba 2A 41530 Morón de la Frontera, Sevilla Spain","Magdalena Rzeczkowska, Sales Area ManagerSales Area Manager",+34 95 585 47 10
17,ACEITUNAS TORRENT SL,www.aceitunastorrent.com,"Avda. Ronda de los Tejares 16 Portal 1, 2-A 14001 Córdoba Spain","Inmaculada López Cantos, Sales and Marketing DirectorSales and Marketing DirectorOlalla Ruiz, Area ManagerArea Manager",+34 957 662 020
18,ACESUR,www.acesur.com,"Carretera Madrid-Cádiz, Km. 550.6 41703 Dos Hermanas, Sevilla Spain","Miguel Colmenero, Export DirectorExport DirectorJuan Gonzalez, Area ManagerArea Manager",+34 954 69 09 00
19,ACETAIA BORGO CASTELLO SRL,www.acetaiaborgocastello.com,Via Genova 244 41056 Savignano sul Panaro (MO) Italy,"Giuseppe Del Tufo, Area ManagerArea Manager",+39 059 768711
