,Company Name,Located,Comapany Website,Details
0,KSM-66 Ashwagandha ,I80 India,http://www.ksm66ashwagandha.com,"The Highest Concentration,Highly Bioavailable,Full Spectrum Root ExtractKSM-66 is an ashwagandha extract made by Ixoreal Biomed, created via a process that took 14 years of R&D to develop and refine."
1,Marmed Health Care Sp. z o.o. ,Poland,-,-
2,Marmed Health Care Sp. z o.o. ,Switzerland,-,-
3,A.R.C.O.-Chemie GmbH ,J120 Germany,-,-
4,AB Biotek ,E151 United Kingdom,http://abbiotek.com,"• AB Biotek is a business specialized in the development of microbiome modulating solutions.• The solutions are based on fermentation technology of microorganisms (bacteria, yeast, enzymes) synergistically combined including, when adding functional value, other nutrients such as vitamins, minerals or herbal extracts and supported by strong research and clinical science• AB Biotek is selectively focused on the following health areas:o Immune HealthSpecifically targeting train immunity through a synergetic yeast-based combination with a published clinical study ( ABBC1™ ImmunoEssentials)o Digestive Health1. A patented combination of yeast and postbiotics targeting rehydration and dysbiosis related triggered by parenteral feeding due to heavy medical intervention or to acute diarrhoea (ABBC22 ™ DigestEssentials)2. A unique and efficient DAO (Diamine Oxydase) enzyme to address histamine intolerance triggering food intolerance (DAOfood and DAOfood Plus)3. A unique tyndallized Saccharomyces Boulardii able to withstand challenging temperature and pH conditions and optimum for use in hot beverages, ice cream or RTD drinks.o Women HealthClinically-proven Lactobacillus Rhamnosus LCR 35 for an oral formula to boost intimate defences and restore vaginal microbiota ( Equilibiom™ WomenEssentials)o Mobility and Joint HealthThe first microbiotic solution for ostheoarthritis based on a lysate of Bifidobacterium longum avoiding recurrence of joint inflammation after three months treatment.(Arthelio ™MobilityEssentials)o Central Nervous System HealthA combo of DAO and caffeine clinically-proven to reduce migraine symptoms triggered by histamine ( DAOHead™)o Mineral YeastsA broad range of mineral yeast including selenium, zinc and chromium."
5,AB-BIOTICS S.A. ,J110 Spain,https://www.ab21probiotic.com/,"Barcelona based AB-BIOTICS is a health science company which is part of the KANEKA Group. AB-BIOTICS focuses on research, development and distribution of clinically documented probiotic ingredients, which contribute to improving people's health and wellbeing."
6,Abies Labs GmbH ,M238 Austria,http://abieslabs.com,"Expand your sales with unique and premium quality food supplements, backed by proprietary clinical studies and powered by silver fir branch extract Belinal®.• Finished formulations are scientifically and clinically supported.• Low MOQ.• We offer marketing support and training of your sales team.Indications:• Immune system• Heart & Cholesterol• Brain & Concentration• Diabetes• Joints & Tissues• Stress• Sport Recovery & Endurance• Beauty & Skin health"
7,ABYSS INGREDIENTS ,L40 France,https://www.abyss-ingredients.com/,"Abyss Ingredients is a producer and supplier of natural marine ingredients dedicated to the food supplements market. We combine innovation, circular economy and sustainability to offer the best solutions to our customers: sustainable ingredients for the healthy-ageing market based on scientific evidence."
8,ACETO FRANCE S.A.S ,F60 France,https://aceto.com/,"Over the last 70 years, Aceto has established itself as a leading value-added global chemical supplier specializing in specialty chemicals, nutritional ingredients, and products used across the pharmaceutical value chain.Aceto has built strong expertise as a nutritional ingredient supplier to the top brands and manufacturers in the industry. Aceto leverages large global sourcing organization in three continents to identify nutritional ingredients meeting the right quality requirements for applications such as immunity and digestive health, wellbeing and weight management. We serve manufacturers in North America, Europe, and Asia.Aceto offers a standard catalog of Amino Acids, Supplements, Botanical Extracts, Minerals, Vitamins and more. The organization can also quickly source novel materials for new and emerging applications such as Vitamin K2, Omega-3, L-Methylfolate Calcium, Quercetin, Lactoferrin, DHA Algae, beta-glucan, postbiotics and other Vegan or Organic ingredients."
9,ACG Associated Capsules Pvt. Ltd ,G50 India,https://www.acg-world.com,"Better delivery keeps them better.Being a capsules manufacturer means we don’t actually produce the formulations that fight disease and suffering – that’s the job of our pharma partners. We do, however, keep searching for new ways to ensure their formulations target the right sites of action, and at exactly the right time.As one of the world’s largest producers of empty hard-shell capsules, and with factories in multiple locations, we have the scale and reach to help make a real impact on human health. We’re also never far away from where you need us, and can guarantee a secure supply of capsules to almost anywhere on the globe.With the world’s most comprehensive vegetarian and gelatin capsule ranges (and in every imaginable size) we have a hard-shell solution for almost all applications and formulations. For even more specific needs, we’re always happy to design something new together with you."
10,Aconitum ,N129 Lithuania,http://www.aconitum.net,Why ACONITUM?We develop and produce herbal medicines and food supplements. We are experts in pharmaceutical market for more than 22 years. We are GMP and HACCP certified. We have partners in more than 70 countries.What we OFFER?Products for distributionContract manufacturingCTD dossiersMarketing servicesWhat Your next product is going be?CONTACT US - we have an answer!
11,Acti Pack SAS ,France,https://www.actipack.eu,"Acti Pack is manufacturer of PET and RPET bottles and jars for personal care and food industries. In cooperation with our sister company Loire Plastic Industrie we are offering ranges of closures and caps to fit our products so that we can offer a complete packaging including a container and a closure.As manufacturer for 30 years, we are supplying standard ranges of PET and RPET packaging from 50ml to 5000ml with several opening diameters and corresponding closures from 20mm to 110mm.Additionnaly we are designing and developping customer's product according to specifications."
12,ACTIF'S MAG ,France,-,-
13,ACTIV'INSIDE ,H141 France,http://www.activinside.com,"Activ'Inside is a health food-tech that develops innovative and effective nutritional solutions, from nutraceutical ingredients to proprietary formulations.Activ'Inside is the French specialist in saffron and grape extracts for their applications in neuronutrition (memory, anxiety, stress, sleep) and nutricosmetics. We develop active ingredients for food supplements, all supported by scientifically proven efficacy, including epidemiological, preclinical (in vivo and in vitro) and clinical studies.With our expertise in the analytical, regulatory, and marketing fields, we also provide a unique and innovative service called Fast Track Formulation™. This enables accelerated conception and thus a fast go-to-market of new health supplements (from proprietary blend to private label)Our clients are professionals in the international Nutraceutical and Health Nutrition industries (laboratories, food supplement industries). We devote a large part of our budget to research and innovation: we have invested more than 20% of our turnover in research and innovation and dedicate 80% of our R&D in nutrition and neurosciences with strong academic collaborations (INRAE, INSERM, CNRS, Neurocampus, European and Canadian universities)."
14,ACTIVLAB PHARMA ,N47 Poland,-,-
15,ADARE BIOME ,K127 France,https://www.lbiome-postbiotic.com/,"Adare Biome is a specialized division of Adare Pharma Solutions, a global technology-driven CDMO.As Pioneer of postbiotics, ADARE BIOME revolutionizes health by providing high-quality postbiotic solutions in human health, through its unique microbiome technology platform."
16,"Adbiotech Co., Ltd. ","Korea, South",https://smartstore.naver.com/jayeonforet,"“ADBIOTECH’s technology intended to replace vaccines and antibiotics.”As the world's only leading developer of immune antibodies for livestock, fisheries, and the human body, ADBIOTECH Co., Ltd. develops various products that can replace vaccines and antibiotics based on technological know-how accumulated over many years.ADBIOTECH’s Central Research Institute is an affiliated research institute certified by the Korea Industrial Technology Association and was established to research and develop pharmaceuticals, oral antibody products for livestock and fisheries, and food additives using egg yolk antibody (IgY) technology. Through industry-university collaboration, this research institute is leading national research projects for new and diverse products with the goal of “safe food for us”• Medicine, livestock, and fishery Yolk antibody technology• Specific diseases in humans and livestock Natural substances• Enhance immunity SupplementsIgY Technology• Applied the principle that antibodies are made in the body after vaccination and the formed immune antibodies are passed on to offspring.• Immune antibodies of oviparous animals are produced, accumulated, and transmitted through the yolk of the mother.• ADBIOTECH owns special technology that enables to control of diseases by applying lgY technology (heterologous antibody technology) to various products."
17,ADM ,Switzerland,-,-
18,ADM. ,E110 Germany,http://www.adm.com,"ADM unlocks the power of nature to enrich the quality of life. We’re a premier global human and animal nutrition company, delivering solutions today with an eye to the future. We’re blazing new trails in health and well-being as our scientists develop groundbreaking products to support healthier living. We’re a cutting-edge innovator leading the way to a new future of plant-based consumer and industrial solutions to replace petroleum-based products. We’re an unmatched agricultural supply chain manager and processor, providing food security by connecting local needs with global capabilities. And we’re a leader in sustainability, scaling across entire value chains to help decarbonize our industry and safeguard our planet. From the seed of the idea to the outcome of the solution, we give customers an edge in solving the nutritional and sustainability challenges of today and tomorrow. Learn more at www.adm.com."
19,ADP LABORATOIRE ,France,http://www.adplaboratoire.com/,Manufacturer of Foodsupplement and herbalist
20,Advanced Organic Materials Iberica S.A. ,K32 Spain,http://aomsa.com.ar,"AOM is the leading manufacturer of clean label tocopherols, sterols and vitamin E with industrial presence in Argentina and Spain. As an integrated manufacturer starting from the most basic raw material (DOD), AOM is the only manufacturer in his category offering hard-IP traceability for non-GMO and organic status for select products. AOM has pioneered the development of sunflower and European rapeseed-sourced tocopherols and sterols as non-GMO and allergen-free options by definition. Our wide range of antioxidant and nutritional products offered in numerous formats, delivers powerful protection and fortification across multiple industries worldwide, including food, nutrition, personal care, pet food and feed. "
21,Advantic Sp. z o.o. ,M43 Poland,http://advantic.com.pl/,"Advantic Sp. z o. o. is a Polish company operating in areas related to food, pharmaceutical and chemical industries. Our employees have many years of business and scientific experience, gained during their careers both in Poland and abroad. This enables us to respond to the client`s needs related to the timely and specialized delivery of raw materials. Our products are of the highest quality, testified by proven tests carried out in Polish and European laboratories. “Advantic” provides excellent chemical and physiochemical analyses of raw materials which is one of the key activities that is undertaken by manufacturing companies and distributors of raw materials. Thanks to our strict analysis and stringent testing that we conduct we can ensure the highest quality of ingredients in the market. This outstanding service is provided by Advantic.Area of activity:The company deals with the import, distribution and production of raw materials. Additionally, the subject of our activity is R&D activity in the field of new materials, analytics of organic compounds and inorganic salts. We also work on unconventional production projects, in cooperation with companies and institutions both, in the country and abroad, also on the basis of J-V relationship. Currently, the company has two sales offices (in Warka and Tarnów) and warehouses adapted for storage of food grade raw materials, food supplements and raw materials for pharmaceutical industry, which is located in the heart of the Mazovia, region."
22,AGBV Nutrition GmbH ,United Kingdom,-,-
23,AGBV Nutrition GMBH ,Switzerland,-,-
