,Title,Website
0,A & D Nürnberger Feinbackwaren GmbH,http://www.ad-nuernberg.de
1,Aachener Printen- und Schokoladenfabrik Henry Lambertz GmbH & Co.KG,http://www.lambertz.de
2,ADM WILD Europe GmbH & Co. KG,http://www.wildflavors.com
3,Agrarfrost GmbH & Co. KG - Vertriebsbereich Snacks -,http://www.agrarfrost.de
4,Alfred Ritter GmbH & Co. KG,http://www.ritter-sport.de
5,anona GmbH,http://www.anona.de
6,Aroma Snacks GmbH,http://www.lisachips.com
7,asCom Confection GmbH,http://www.ascomgum.com
8,Aseli Trade GmbH,http://www.aseli.de
9,August Storck KG,http://www.storck.com
10,Bahlsen GmbH & Co. KG,http://www.bahlsengroup.com
11,Barry Callebaut Cocoa Germany GmbH,http://www.barry-callebaut.com
12,Barry Callebaut Deutschland GmbH,http://www.barry-callebaut.com
13,Barry Callebaut Manufacturing Norderstedt GmbH & Co. KG,http://www.barry-callebaut.com
14,Baumgartner Schokoladen GmbH,http://www.baumgartner-gmbh.com
15,Baur Chocolat GmbH & Co. KG,http://www.baur-chocolat.com
16,Bisquiva GmbH & Co. KG,http://www.bisquiva.com
17,Bizerba GmbH & Co. KG,http://www.bizerba.com
18,Bodeta Süßwaren GmbH,http://www.bodeta.de
19,Boettger Food Ingredients GmbH,http://www.boettger1904.com
20,Brandt Backwaren Vertriebs GmbH,http://www.brandt-zwieback.de
21,Brandt Schokoladen GmbH + Co. KG,http://www.brandt-gmbh.de
22,Brandt Zwieback-Schokoladen GmbH + Co. KG,http://www.brandt-zwieback.de
23,Bruno Gelato GmbH,http://www.brunogelato.de
24,Capol GmbH,http://www.capol.de
25,Cargill Cocoa & Chocolate GmbH Cargill GmbH,https://www.cargill.de
26,Cargill GmbH Cargill Chocolate Products Betriebsstätte Klein Schierstedt,http://www.cargill.com
27,Cavendish & Harvey Confectionery GmbH,http://www.cavendish-harvey.de
28,CFP Brands Süßwarenhandels GmbH & Co. KG,http://www.cfp-brands.de
29,Chocoladefabriken Lindt & Sprüngli GmbH,http://www.lindt.com
30,chocri GmbH,http://www.chocri.de
31,Chr. Storz GmbH & Co. KG,http://www.storz-schokolade.de
32,CMF-Produkte Keller,http://www.goufrais.com
33,Confiserie Bosch GmbH Schwäbische Manufaktur für Genuss,http://www.confiseriebosch.de
34,Confiserie Burg Lauenstein GmbH,http://www.lauensteiner.de
35,Confiserie Coppeneur et Compagnon GmbH,http://www.coppeneur.de
36,Confiserie Dengel,http://www.confiserie-dengel.de
37,Confiserie Heilemann GmbH,http://www.heilemann.de
38,Confiserie Imping GmbH,http://www.imping-confiserie.de
39,Confiserie Mutter GmbH & Co. KG,http://www.krokant.de
40,Conrad Schulte GmbH & Co. KG Feingebäckfabrik,http://www.schulte-feingebaeck.de
41,Continental Bakeries Deutschland GmbH,http://www.continentalbakeries.com
42,Coppenrath Feingebäck GmbH,http://www.coppenrath-feingebaeck.de
43,CSB-System SE,http://www.csb.com
44,D&F Drouven GmbH,http://www.df-drouven.de
45,Dallmann´s Pharma Candy GmbH,http://www.dallmanns-salbei.de
46,Dawn Foods Germany GmbH,http://www.dawnfoods.com
47,Delica AG Chewing Gum,http://www.chewinggum.ch
48,Delitzscher Schokoladenfabrik GmbH,http://www.delitzscher.de
49,Dextro Energy GmbH & Co. KG,http://www.dextro-energy.com
50,Dietrich Borggreve KG Zwieback- und Keksfabrik,http://www.borggreve-kekse.de
51,DMK Eis GmbH,http://www.dmk-eis.de
52,Döhler GmbH,http://www.doehler.com
53,Dr. August Oetker Nahrungsmittel KG,http://www.oetker.de
54,Dr. Klaus Karg KG,http://www.dr-karg.com
55,Dr. Quendt GmbH & Co. KG,http://www.dr-quendt.de
56,Dreidoppel GmbH,http://www.dreidoppel.de
57,Edmund Münster GmbH & Co. KG,http://www.haribo.com
58,Eduard Edel GmbH Bonbonfabrik,http://www.edel-bonbon.de
59,EGESIE GmbH,http://www.egesie.de
60,Eichetti Confect Spezialitäten A. Eichelmann GmbH & Co. KG,http://www.eichetti.de
61,Eickmeyer & Gehring GmbH & Co. KG,http://www.schokoladeamstiel.de
62,Eisbär Eis Gebr. Klehn GmbH -Verwaltungsgesellschaft-,http://www.eisbaer-eis.de
63,Erasmi & Carstens GmbH,http://www.carstens-marzipan.de
64,F.A. Crux GmbH & Co. KG,http://www.lambertz.de
65,FARÜCHOC Schokoladenfabrik GmbH & Co. KG,http://www.faruechoc.de
66,FDF Flensburger Dragee-Fabrik GmbH & Co. KG,http://www.agilus-dragees.de
67,Feinbäckerei Otten GmbH & Co. KG,http://www.feinbaeckerei-otten.de
68,Ferrero Deutschland GmbH,http://www.ferrero.de
69,Ferrero MSC GmbH & Co. KG,http://www.ferrero.de
70,Ferrero oHG mbH,http://www.ferrero.de
71,FESEY GmbH & Co. KG,http://www.fesey.de
72,Fischer Süßwaren GmbH,http://www.bonbonwelt.de
73,Fr. Kaiser GmbH,http://www.kaiser-candy.de
74,Frank Lebkuchen GmbH Lebkuchenfabrik,http://www.frank-lebkuchen.de
75,Friedrich Flaig e. K.,http://www.flaig-suesswaren.de
76,Fritz Kunder GmbH,http://www.kunder-confiserie.de
77,FRONERI Schöller GmbH,http://www.schoeller.de
78,FRONERI Schöller Produktions GmbH,http://www.schoeller.de
79,Gebr. Jancke GmbH,http://www.jancke.de
80,Gelato Classico Die Eismanufaktur GmbH,http://www.gelatoclassico.de
81,Georg Lemke GmbH & Co. KG,http://www.lemke.de
