,Title,Address,Telephone,Email
0,BACK SHOP Tiefkühl GmbH,Leverkusenstraße 54 D - 22761 Hamburg,+49 40 523 8720,andreas.wollge@backshop-tk.de
1,Bio Kartoffel Nord GmbH & Co. KG,An den Gärten 24 D-29439 Lüchow,+49 (0)5841 976409,m.monz@biokartoffelnord.de
2,Bio-Zentrale Naturprodukte GmbH,Holzmühlenweg 4 D-84384 Wittibreut - Ulbering,+49 (0)8574 96100,mandy.malsch@biozentrale.de
3,H. & J. BRÜGGEN KG,Gertrudenstraße 15 D - 23568 Lübeck,+49 (0)451 3100127,info@brueggen.com
4,Byodo Naturkost GmbH,Leisederstrasse 2 D-84453 Mühldorf,+49 (0)8631 362961,pillris@byodo.de
5,Delba-Backbetrieb GmbH,Oststraße 2 - 4 D - 33129 Delbrück,+49 (0)5250 98000,info@delba.de
6,Dr. Otto Suwelack Nachf. GmbH & Co. KG,Josef-Suwelack-Straße 1 D - 48727 Billerbeck,+49 (0)2543 72 -257 oder -121,baerbel.heck@suwelack.de / helga.neinert@suwelack.de
7,Frießinger Mühle GmbH,Brühlstraße 13 D-74206 Bad Wimpfen,+49 (0)7063 979710,info@friessinger-muehle.de
8,HUOBER-BREZEL GmbH & Co KG,Riedstraße 1 D - 71729 Erdmannhausen,+49 (0)7144 338148,eugen.jedig@huoberbrezel.de / vertrieb@huoberbrezel.de
9,Kröner-Stärke GmbH,Lengericher Straße 158 D - 49479 Ibbenbüren,+49 (0)5451 94470,info@kroener-staerke.de
10,Lay Gewürze GmbH,Im Oberen Weidig 2 D - 98631 Grabfeld/Queienfeld,+49 (0)36944 5210,export@lay-gewuerze.de
11,Mestemacher GmbH,Am Anger 16 D - 33330 Gütersloh,+49 (0)5241 87090,export@mestemacher.de
12,H. PICKERD GmbH & Co. KG,Raiffeisenstraße 19 D - 30938 Burgwedel,+49 (0)5139 8976,martina.moritz@pickerd.de
13,Jens Schleicher GmbH - QUICKBURY,Max-Weber-Straße 28 D - 25451 Quickborn,+49 (0)4106 76760,info@quickbury.de
14,Rickmers Reismühle GmbH,Stephanikirchenweide 30 D - 28217 Bremen,+49 (0)421 380570,info@rickmers.eu
15,RILA Feinkost-Importe GmbH & Co. KG,Hinterm Teich 5 D-32351 Stemwede-Levern,+49 (0)5745 945158,export@rila.de
16,RUF Lebensmittelwerk KG,Oldenburger Strasse 1 D - 49610 Quakenbrück,+49 (0)5431 185197,export@ruf.eu
17,Seitenbacher,Siemensstraße 14 D - 74722 Buchen,+49 (0)6281 3066,export@seitenbacher.de
18,Fauser Vitaquellwerk KG (GmbH & Co.),Pinneberger Chaussee 60 D - 22523 Hamburg,+49 (0)40 57202262,andrea.dehn@vitaquell.de
19,Worlée NaturProdukte GmbH,Grusonstr. 26 D - 22529 Hamburg,+49 (0)40 733335052,pschmid@worlee.de
20,AVO-Werke August Beisse GmbH,Industriestraße 7 D - 49191 Belm,+49 (0)5406 5080,info@avo.de
21,Berief Food GmbH,Lebensweg 1 D-59269 Beckum,+49 (0)2521 2614317,office@berief-sales.com
22,BIO PLANÈTE Ölmühle Moog GmbH,Klappendorf 1 D-01623 Lommatzsch,+49 (0)35 24182080,sales@bioplanete.com
23,Bio-Zentrale Naturprodukte GmbH,Holzmühlenweg 4 D-84384 Wittibreut - Ulbering,+49 (0)8574 96100,mandy.malsch@biozentrale.de
24,P. Brändle GmbH,Robert-Bosch-Str. 10 D-72186 Empfingen,+49 (0)7485 9779-0,info@braendle.de
25,Byodo Naturkost GmbH,Leisederstrasse 2 D-84453 Mühldorf,+49 (0)8631 362961,pillris@byodo.de
26,Friedrich Feldmann GmbH & Co. KG,Bannwaldallee 40 D - 76185 Karlsruhe,+49 (0)721 559950,info@feldmann-essig.de
27,Hela Gewürzwerk Hermann Laue GmbH,Beimoorweg 11 D-22926 Ahrensburg,+49 (0)4102 496303,lars.oehme@hela.eu
28,Hengstenberg GmbH & Co. KG,Mettinger Str. 109 D-73728 Esslingen,+49 (0)711 39290,info@hengstenberg.de
29,Keunecke Feinkost GmbH,Große Gasse 367 D - 06493 Ballenstedt,+49 (0)39483 59249,j.mena-koenig@keunecke-feinkost.de
30,Heinrich Kühlmann GmbH & Co. KG,Im Thüle 26 33397 Rietberg,+49 (0)5244 4009215,wiebke.steiner@kuehlmann.de
31,Lay Gewürze GmbH,Im Oberen Weidig 2 D - 98631 Grabfeld/Queienfeld,+49 (0)36944 5210,export@lay-gewuerze.de
32,RILA Feinkost-Importe GmbH & Co. KG,Hinterm Teich 5 D-32351 Stemwede-Levern,+49 (0)5745 945158,export@rila.de
33,Seitenbacher,Siemensstraße 14 D - 74722 Buchen,+49 (0)6281 3066,export@seitenbacher.de
34,"Terheggen & Dethlefsen
Food Engineering GmbH",Ottensener Straße 130 D - 22525 Hamburg - Stellingen,+49 (0)40 54779324,a.schirra@terheggen-dethlefsen.de
35,Teutoburger Ölmühle GmbH,Gutenbergstraße 17 D - 49477 Ibbenbüren,+49 (0)5451 99590,info@teutoburger-oelmuehle.de
36,Valenzi GmbH & Co. KG,Industriestraße 5 -7 D - 29556 Suderburg,+49 (0)5826 889 -26 oder -47,henning.vogt@valenzi.de / matthias.pohlmann@valenzi.de
37,Fauser Vitaquellwerk KG (GmbH & Co.),Pinneberger Chaussee 60 D - 22523 Hamburg,+49 (0)40 57202262,andrea.dehn@vitaquell.de
38,Worlée NaturProdukte GmbH,Grusonstr. 26 D - 22529 Hamburg,+49 (0)40 733335052,pschmid@worlee.de
39,AGRARFROST GmbH & Co. KG,Aldrup 3 D - 27793 Wildeshausen,+49 (0)4434 870,export@agrarfrost.de
40,ALB-GOLD Teigwaren GmbH,Im Grindel 1 D - 72818 Trochtelfingen,+49 (0)7124 9291184,c.doerner@alb-gold.de
41,Berief Food GmbH,Lebensweg 1 D-59269 Beckum,+49 (0)2521 2614317,office@berief-sales.com
42,Bio-Zentrale Naturprodukte GmbH,Holzmühlenweg 4 D-84384 Wittibreut - Ulbering,+49 (0)8574 96100,mandy.malsch@biozentrale.de
43,H. & J. BRÜGGEN KG,Gertrudenstraße 15 D - 23568 Lübeck,+49 (0)451 3100127,info@brueggen.com
44,Buck GmbH & Co. KG Nudelspezialitäten,Mühlstrasse 8-10 D - 88512 Mengen,+49 (0)7572 769920,info@buck-dl.de
45,Byodo Naturkost GmbH,Leisederstrasse 2 D-84453 Mühldorf,+49 (0)8631 362961,pillris@byodo.de
46,Dieter Hein GmbH & Co.KG,Hansastraße 8-10 D - 49202 Hasbergen,+49 (0)5405 508153,hein@dieter-hein.com
47,DREISTERN-Konserven GmbH & Co KG,Philipp-Oehmigke-Straße 4 D - 16816 Neuruppin am See,+49 (0)3391 59570,verbraucher@dreistern-konserven.de
48,HANNA-Feinkost AG,Boker Straße 41 D - 33129 Delbrück,+49 (0)5250 5107 - 58 oder -53,sales@hanna.de
49,"Max Ladenburger Söhne
Heimatsmühle GmbH & Co. KG",Heimatsmühle 1 D - 73433 Aalen,+49 (0)7361 91510,info@heimatsmuehle.com
50,Hela Gewürzwerk Hermann Laue GmbH,Beimoorweg 11 D-22926 Ahrensburg,+49 (0)4102 496303,lars.oehme@hela.eu
51,Hengstenberg GmbH & Co. KG,Mettinger Str. 109 D-73728 Esslingen,+49 (0)711 39290,info@hengstenberg.de
52,Keunecke Feinkost GmbH,Große Gasse 367 D - 06493 Ballenstedt,+49 (0)39483 59249,j.mena-koenig@keunecke-feinkost.de
53,Heinrich Kühlmann GmbH & Co. KG,Im Thüle 26 33397 Rietberg,+49 (0)5244 4009215,wiebke.steiner@kuehlmann.de
54,"Meica Ammerländische Fleischwarenfabrik
Fritz Meinen GmbH & Co KG",Meicastraße 6 D-26188 Edewecht,+49 (0)4405 999 144,angelika.wilking@meica.de
55,RILA Feinkost-Importe GmbH & Co. KG,Hinterm Teich 5 D-32351 Stemwede-Levern,+49 (0)5745 945158,export@rila.de
56,RUF Lebensmittelwerk KG,Oldenburger Strasse 1 D - 49610 Quakenbrück,+49 (0)5431 185197,export@ruf.eu
57,Seitenbacher,Siemensstraße 14 D - 74722 Buchen,+49 (0)6281 3066,export@seitenbacher.de
58,Franz Tress GmbH & Co. KG,Dottinger Straße 69 D-72525 Münsingen,+49 (0)7381 939215,info@tress.de
59,Valenzi GmbH & Co. KG,Industriestraße 5 -7 D - 29556 Suderburg,+49 (0)5826 889 -26 oder -47,henning.vogt@valenzi.de / matthias.pohlmann@valenzi.de
